woyoubushichanggede	我又不是唱歌的
shangcifasongshibaidezhaopian	上次发送失败的照片
nigangcaishibushizai	你刚才是不是在
dalinzizaifengmogu	大林子在疯魔谷
zheishiduiwoweiyideanwei	这是对我唯一的安慰
bibiwomeineimekuaidengwo	吡吡我没那么快等我
buyaogaodaojiangyanzhong	不要搞到将严重
yexuyiduanshijianbu	也许一段时间不
zheizheizheiqidaiqidai	这这这期待期待
nongdaowozheimeqidai	弄到我这么期待
wojiuxiangwenwenshibushi	我就想问问是不是
nizaiqunlishuoderenshita	你在群里说的人是她
xianzaixinqingzhendehenbuhaoma	现在心情真的很不好嘛
tayaoneigehongsede	他要那个红色的
nidaihuijiuhuizhidaole	你待会就回知道了
womingtianmeiyouqudu	我明天没有去读
woyijinggaosunitabuzaizheili	我已经告诉你她不在这里
moubaichitoulewoxiezi	某白痴偷了我鞋子
liangdouzhendexingleba	俩都真的行了吧
woyeshizheiyangxiangde	我也是这样想的
henibiaodijiaoliudezenmeyangle	和你表弟交流的怎么样了
ranernizheigebolangxian	然而你这个波浪线
jukenengzhongxunjinjue	佢可能仲训紧觉
wodiaohuiwuhuilixianggang	我屌会唔会黎香港
niquzhiqianyouzuohao	你去之前有做好
maomaoyuzaidayidiandian	毛毛雨再大一点点
weishenmequkaohushi	为什么去考护士
rangwomenshouzhexinxiyiqi	让我们收着信息一起
nandaoshitabenlaijiuyoudema	难道是它本来就有的吗
yinxiangzhongshiniwenguobaobao	印象中是你问过包包
womenkebukeyijiadee	我们可不可以加的哦
buyaoshanghaizijijiukeyi	不要伤害自己就可以
tadengxiabuliuxiaole	他等下不留校了
nizenmebuzhidaonimaishenmede	你怎么不知道你买甚么的
weishenmefangjianlizheimeleng	为什么房间里这么冷
neishidaduoshunanrendeaihao	那时大多数男人的爱好
nibuyaojiajiayoujiangquneibian	你不要假假又讲去那边
youkedehuawojiuna	有课的话我就拿
zongshujiaqilaidoubudao	总数加起来都不到
zheiyangxihuanbirenjia	这样喜欢比人家
woyinggaiquxueyanchangdangmingxinga	我应该去学演唱当明星啊
yuepirenerdiedieshengrikuaile	月屁人儿爹爹生日快乐
woyaomaidemeiguanjiuhao	我要买的没关就好
rangwomenshenrulejielejieba	让我们深入了解了解吧
chongmaijinwanmingtianjiukeyichong	充埋今晚明天就可以充
xialouqubuyaozailoushangke	下楼去不要在楼上可
bukeyiluanluanliuliao	不可以乱乱留料
feifeichifanlemeiyou	肥肥吃饭了没有
wozheicizhudebingfangzhiyouneimexiang	我这次住的病房只有那么像
yaobuyaowojianijin	要不要我加你进
nishuoxiyijijiaojia	你说洗衣机脚架
jiulianxusiliaochabuduoyigeyue	就连续私聊差不多一个月
tajiangzuijinhaihuiyou	她讲最近还会有
zheimebantiandaoguanziqule	这么半天导管子去了
tazuowangennishuoshalai	她昨晚跟你说啥来
wokannimenhuodeshenxian	我看你们活得神仙
xiangxiangyiqiandewomen	想想以前的我们
tashenmeshihouguanbi	它什么时候关闭
woheleyixieniunai	我喝了一些牛奶
wokanwojidiankeyishuige	我看我几点可以睡咯
nibashentizenmeyang	你爸身体怎么样
niqucuicuitaliangqu	你去催催他俩去
yizhibuaiheshucaizhi	一直不爱喝蔬菜汁
akebuzhishishenme	阿珂不知是什么
huanjiaotacheluntaihe	换脚踏车轮胎和
jiangmingtianniyouqunalimeiyou	将明天你有去哪里没有
xiangzhijiebaqinqiquanbu	想直接把亲戚全部
qinwoxiangqukandianying	亲我想去看电影
jiudangwocaizhidaoba	就当我才知道吧
yifangnibujidela	以防你不记得啦
dainijianshixiashenmejiaomalatang	带你见识下什么叫麻辣烫
huwaidengshanxiezenmedapei	户外登山鞋怎么搭配
huashuowohuanshanglu:bu	话说我换上吕布
nikankanhaobuhaoting	你看看好不好听
wobeishuguangjigaole	我被曙光给搞了
ximihuijiandaozhenren	系咪会见到真人
yinweinibangwomailewojiude	因为你帮我买了我就得
womenyiqigaibeibeibaozhe	我们一起盖被被抱着
jiushimeiyoulunzide	就是没有轮子的
wodetongxueshuoneirongkou	我的同学说内容扣
baodazaibiededifang	报答在别的地方
kalulizhishiyige	卡路里只是一个
wodouhaimeiyoujieshouni	我都还没有接受你
wokanleditugaosuyao	我看了地图高速要
jishishuoguoyaosongta	几时说过要送他
kewowanquantingbumingbai	可我完全听不明白
kanbuchunishiyouhaizide	看不出你是有孩子的
fanshenzhiqianchabuduohuile	翻身之前差不多会了
weishenmehuidaotuide	为甚么会倒退的
womamayinggaibuhuimaijiwo	我妈妈应该不会买给我
zhinengshuorenjiazhangdehao	只能说人家长得好
rangwolaijiaoyuyixiaba	让我来教育一下吧
qianlongxiayigejiangnan	乾隆下一个江南
zongyourenshuowoguaiguai	总有人说我乖乖
wozhendejuedetitie	我真的觉得体贴
wananlafeipoaini	晚安啦肥婆爱你
fanzhengyeshifangjiale	反正也是放假了
neimeqingwenshibushiruguo	那么请问是不是如果
zhuyuefuyuemuguoqingjiekuaile	祝岳父岳母国庆节快乐
woshizhunbeigentashuode	我是准备跟她说的
henxiangxiangzhiqianyiyang	很想象之前一样
zaozhidaowocaitadexiezi	早知道我踩她的鞋子
neinixianzaiyaobuyaowo	那你现在要不要我
zenmemeigaosuyisheng	怎么没告诉一声
woxianzaizhangpuhenshaogennande	我现在漳浦很少跟男的
woshuijuedeshihoubuchuanshuiyihe	我睡觉的时候不穿睡衣和
womeiyoujuedeshishenme	我没有觉得是什么
junrongmashishenqingguoge	俊融嘛事申请过咯
hahahawuhuibiegaoxiao	哈哈哈无悔别搞笑
haodemashangtinggonglehahahaha	好的马上停工了哈哈哈哈
qingsongxuehuidulisikao	轻松学会独立思考
liangqiansanbaibashiba	两千三百八十八
kenengyanhuibatajinongchengzhinanlie	可能燕会把他给弄成直男咧
wojiaoxiaobaihuantouxiangtahaizhendehuan	我叫小白换头像他还真的换
zhenzhengdeshenbianduibuduiyalaopo	真正的身边对不对呀老婆
azheiyangmeiguanxila	阿这样没关系啦
hetihuiguodejibenyizhi	和体会过的基本一致
suoyanshibaotuxingwei	所言是暴徒行为
zaigongzuodedifangle	在工作的地方了
niwuhaoshifanlagan	你唔好食饭啦咁
ganxiwangniqingdaojiala	咁希望你请到假啦
haoxiangshangcishuojile	好像上次说给了
xianzaiyaokaibaoshijie	现在要开保时捷
wozhishibuhetashuoshishei	我只是不和她说是谁
zheibushizhuangtaizheishi	这不是状态这是
yinweizhendehenbianyi	因为真的很便宜
tashuozhiqiantapaohuanpaodaotongqiansheng	她说之前她跑环跑到铜钱剩
zijilianchugaopindejiumai	自己练出高品的就卖
ranhouwoganggangkandaoyuanlainide	然后我刚刚看到原来你的
xihuanhaixiangjianpia	喜欢还想剪屁啊
woxianzaichilecaihuijia	我现在吃了才回家
shengrikuailexiaobaobei	生日快乐小宝贝
wokainifangjianmenyaomodi	我开你房间门要抹地
laopobushishuozijia	老婆不是说自己啊
yaoliangcixiakeyekeyi	要两次下课也可以
nidoumeiyoumaiguojiwo	你都没有买过给我
wozhiqiandouzhaochulea	我之前都照出了啊
wofaxianxianzaidexiaolongbaohe	我发现现在的小笼包和
zhengouxingdenilaoban	真够行的你老板
erwohaiyaochengquanzhufu	而我还要成全祝福
zaiwoshubiaofangdeneili	在我鼠标放的那里
buhuifubuhuifubuhuifu	不回复不回复不回复
tahuigennijiangnalide	他会跟你讲哪里的
qitasanshedoupaishai	其他三社都派晒
dingyineibianwozhishi	定义那边我只是
youeryuanlaodajujiqun	幼儿园老大聚集群
woxianzaitoudaoxianzaihaiyoudianyun	我现在头到现在还有点晕
xianquchifanxiuxilezaishuihaobuhao	先去吃饭休息了再睡好不好
yangjiayiyezheimeshuode	杨嘉译也这么说的
zheishimuqianmianlindeshiqinga	这是目前面临的事情啊
nihaimeijiwochangnanshannan	你还没给我唱南山南
zairibenjiehunshengzila	在日本结婚生子啦
nixianzaiduoshaojinla	你现在多少斤啦
nizenmexiayuhaichuqu	你怎么下雨还出去
xianzaijiubuxiangbaole	现在就不想抱了
guqiyongqiquezhinengzuopengyou	鼓起勇气却只能做朋友
wozaigenwogexuejita	我在跟我哥学吉他
haosirendilijiachuzougan	好似人地离家出走咁
womailewojiazheibiande	我买了我家这边的
yaobuwoxianzaichulai	要不我现在出来
wotouxiangshangdehuangguazhen	我头像上的黄瓜真
gugujiwomailetiao	姑姑给我买了条
yuanyuanjintianguolaishima	元媛今天过来是吗
madexianbaojingawocao	妈的先报警啊卧槽
aimayawozhidaoleyigedaxiaoxi	哎妈呀我知道了一个大消息
gugeyuanbandeshiyoude	谷歌原版的是有的
dafeijidouyaojiaoa	打飞机都要教啊
wozhenshirilezhangqilingle	我真是日了张起灵了
niyoupiaoguoweichengnianma	你有嫖过未成年吗
ranhouwohaishizhijiehuiba	然后我还是直接回吧
faguanggaoyaoxianfahongbao	发广告要先发红包
wohenmingxianbuhuichui	我很明显不会吹
wentishiduoleyige	问题是多了一个
wozhidaonishixiangkandaowode	我知道你是想看到我的
nijuedezheijiahaoma	你觉得这家好吗
nijuedewobuhuima	你觉得我不会吗
buyejiushizaiwangbadala	不也就是在网吧打啦
xiangnixiangdeyouzaoxingle	想你想的又早醒了
zouqianyidianjiushiwoerma	走前一点就是沃尔玛
shengmingbuxihajiubuzhi	生命不息哈酒不止
woxiangxinbuyonggaofayingyehuifaxian	我相信不用告发萦也会发现
nibuyaoshitujiaosuowofanzui	你不要试图教唆我犯罪
zheigechengdudemeiyandouzhebuzhubao	这个程度的美颜都遮不住包
liechezhangshigeshuaige	列车长是个帅哥
qutianjinhaizuodongche	去天津还坐动车
laotouzinizaineililangman	老头子你在那里浪漫
nu:shengmeiyoushuaizheigeci	女生没有帅这个词
yunfujiahoudadiku	孕妇加厚打底裤
ruguowoxihuanbieren	如果我喜欢别人
yiketainuodaotianliang	一颗泰诺到天亮
tiaowenniuzihalunku	条纹牛仔哈伦裤
bushibushihaoduozhizhongdejiawo	不是不是好多职中的加我
nidaojishilaozijinzhang	你倒计时老子紧张
nizainakandaobaifamonu:zhangzheiyang	你在哪看到白发魔女长这样
neiweimaobutingbanma	那为毛不听斑马
yaozheimeshuojiuhaole	要这么说就好了
nengzaiexinyidianma	能再恶心一点吗
xiaodianhuibuhuitaidi	笑点会不会太低
nizheidouyuanzoufeizhoule	你这都远走非洲了
suoyijinimennu:renpaide	所以给你们女人拍的
yihouyaotiantianzaiyiqi	以后要天天在一起
jishiwodoumeiyoutingdao	几时我都没有听到
buyaoguangrangwotingzhexiaoshengxiaoma	不要光让我听着笑声笑嘛
bushuiniyebunengnawozenmeyang	不睡你也不能拿我怎么样
bushuiniyebunengnawozenmeyang	不睡你也不能拿我怎么样
bushuiniyebunengnawozenmeyang	不睡你也不能拿我怎么样
nizuotianhesheikaifang	你昨天和谁开房
shunfengluzhoushangmaochengjisanzhongxin	顺丰泸州商贸城集散中心
boboneibianyeyoujihuinadao	波波那边也有机会拿到
jintaishunhelimeihaizhuanzhenghou	金胎顺和李美海转正后
lingdaomendounaqule	领导们都哪去了
woshoujiliujiayile	我手机留给阿姨了
nonglianggeniulaijieshaoli	弄两个妞来介绍哩
youshihouzhixianghaohaopeini	有时候只想好好陪你
dongmanhaibaonimaiduoshaoa	动漫海报你卖多少啊
nidaozuihouhaibushigentashui	你到最后还不是跟他睡
niyoulexinerjiuhaolea	你有了欣儿就好了啊
nibayaochiliujiwoha	你把钥匙留给我蛤
yaoshiniwojiudayingle	要是你我就答应了
shenmeshihoudoukeyi	什么时候都可以
tabawozheishipinfadaokongjianqule	他把我这视频发到空间去了
sheinimayoubatalajinlaigankao	谁尼玛又把他拉进来干靠
wofagongzilejini	我发工资了给你
nibuqumaixiezila	你不去买鞋子啦
yishangshiwodezhusu	以上是我的住宿
buguodiyiganjuedequeshishijie	不过第一感觉的确是师姐
quedingnibuyaowodezan	确定你不要我的赞
jianzhiyaolewodeming	简直要了我的命
wohaimeizixikantade	我还没仔细看他的
nixinwuzihaimeihaoma	你新屋子还没好吗
yigexuanzeshiyurenmatoude	一个选择是渔人码头的
wojiubuquzhaonile	我就不去找你了
shibushiwolingshouyoucuoni	是不是我领受有错呢
bushishuoqingwomenchifan	不是说请我们吃饭
zhiqianwohaoxiangfaguo	之前我好像发过
sheiyaojiushudelaige	谁要救树的来咯
paolexiaozhangdenu:er	泡了校长的女儿
haiyouyizhongxuanzejiushiwoba	还有一种选择就是我把
dudaodaxuejiudela	读到大学就得啦
laimalaixiyalema	来马来西亚了吗
wobudongyaobuyaomaila	我不懂要不要买啦
nidaodilejiebulejiewodeganshou	你到底了解不了解我的感受
peiyilezhijiemiaoshawo	佩谊叻直接秒杀我
biewangmaiwaijiwudaodemojing	别忘买外籍舞蹈的墨镜
nihaishixinqingbuhao	你还是心情不好
zhikanshangmianneiweima	只看上面那位吗
ranhoujiuneimekuaiwangjile	然后就那么快忘记了
jiumaiheiseheyouse	就买黑色和釉色
gennimamajiangbushufukanle	跟你妈妈讲不舒服看了
henxiangneishiyiqiwanderizi	很想那时一起玩的日子
weishenmewobunengbangya	为甚么我不能绑牙
lianshouleshenmeaimayeyao	连受了什么挨骂也要
kantazhenzangdedongxijiuzhidaole	看他珍藏的东西就知道了
langfeiwodeyewanshijian	浪费我的夜晚时间
kenengshibeicunyongbule	可能是贝村用不了
buguoruguonihuayinggaihenmei	不过如果你画应该很美
woyeyoumaidongmanzhoubian	我也有买动漫周边
yinweiwohaiyoudingbanfuneixie	因为我还有订班服那些
zaixinjiapozuoshenmegong	在新加坡做什么工
kanduodianyoubangzhudewenzhang	看多点有帮助的文章
kanqingkuangyaobuyaoshuo	看情况要不要说
tongchangjinaiyoudeluo	通常几耐有得攞
wozhijiemeiyoulita	我直接没有理他
yifushiliangjianyouhuile	衣服是两件优惠了
zuotianwokanzaoshangdexinxi	昨天我看早上的信息
nibushihaizaimeili	你不是还在美里
taiguosimianfofujinjiudian	泰国四面佛附近酒店
yiqiantiantianshuohuaderen	以前天天说话的人
katongxiaochushitupian	卡通小厨师图片
niganbushibuyaodai	你敢不是不要带
bijingzheilimeidongxikeyijiwozuo	毕竟这里没东西可以给我做
huximofajinghuahaosheng	呼吸魔法精华毫升
neiyebangwoxiuwode	那也帮我修我的
quanbudouzhidaowodehaomale	全部都知道我的号码了
wopeiniquchizaocange	我陪你去吃早餐咯
nibuyaoqushuijuea	你不要去睡觉啊
zheiliangtianniyinggaiyoule	这两天你应该有了
duoshaojidezhuangbeizhideqiang	多少级的装备值得强
keshiwodehaoxiangshi	可是我的好像是
wodeheitouhaoyanzhonga	我的黑头好严重啊
zaoanyofeizhulaopo	早安哟肥猪老婆
woyinggaibuhuineimeshashuobuyaoba	我应该不会那么傻说不要吧
nanbuchengniyaobiaoshini	难不成你要表示你
zuowanzuodongxidaohenwan	作晚做东西到很晚
zhendehenbuxiguana	真的很不习惯啊
niyeshiyaozhuanxinshangkee	你也是要专心上课哦
daoburumingtianyiqichao	倒不如明天一起抄
ranhouhoutiancainenggenni	然后后天才能跟你
jianghaoxiangmeiyoushenmerenlele	酱好像没有什么人了叻
meiyoueihahahaokaneryi	没有诶哈哈好看而已
zhangxiangnidoukanguole	长相你都看过了
neizhangtugensanbeiyoushenmeguanxi	那张图跟三倍有什么关系
shangmianneigebaisedeshibushi	上面那个白色的是不是
wobuhuizijizhua	我不会自己煮啊
yongqitawopaleiyama	用其他我怕雷呀嘛
womenneitianyanmaifangjianimeiyouma	我们那天烟霾放假你没有吗
mingtianniyoulanduode	明天你又懒惰的
yabizhonghuagongshangzonghuizhuban	亚庇中华工商总会主办
haiyouhoumiankenenghaiyouxieshangpin	还有后面可能还有些商品
womenyehenxiangnimenle	我们也很想你们叻
neigexiangmafannitongzhi	那个想麻烦你通知
faxianwodewencaihaishikeyide	发现我的文采还是可以的
yizhifanqiangkanxinwenyiqian	一直翻墙看新闻以前
zenyangdouyaojiduifangzijidekongjian	怎样都要给对方自己的空间
huarenquanbudouhenduochuangyi	华人全部都很多创意
laopomamayaojiukeyile	老婆妈妈要就可以了
yikeaishuimiandexin	一颗爱睡眠的心
houhuizuoduojiciaie	后悔做多几次爱哦
youmeiyouxiangwolelele	有没有像我勒勒勒
buxiangrenjiadoukeyide	不想人家都可以的
qujinmalunkeyiyong	去金马伦可以用
buguowoganjueneigeren	不过我感觉那个人
motedetuizhangduoshaoa	模特的腿长多少啊
miewuxinanzixianhuimie	咩唔系男仔先会咩
libaishiyidiandaowudiane	礼拜是一点到五点哦
zheigemeiyouneimeheren	这个没有那么吓人
bangwogentajiangzheishinijiao	帮我跟他讲这是你叫
wogongsidianhuashoudaozhapianduanxin	我公司电话收到诈骗短信
nitiaoqilewodeshiyu	你挑起了我的食欲
yinweitajiechulaojiedeguanxi	因为他接触老姐的关系
dengxiawoyibazhanggentabaxiaqua	等下我一巴掌跟他巴下去啊
dengxiagennibaxiaqu	等下跟你巴下去
jinwandaogaohuihaohaoxiuxi	今晚祷告会好好休息
taxianzaihuideyuelaiyueduole	他现在会的越来越多了
erqiehuandianhuabianyi	而且换电话便宜
xinghezhanshenzenmekaishi	星河战神怎么开始
hehebushimarendehuama	呵呵不是骂人的话吗
bitapiaolianghaibukeyima	比他漂亮还不可以嘛
genimeijietadianhuae	哥你没接他电话哦
neiniyenasaobihaolian	那你也拿骚逼号练
jiunidenaoziyexiangbuchukao	就你的脑子也想不出考
laoyeyijingduiwohenyou	老爷已经对我很有
wozaikanbierenbeidu	我在看别人被堵
wogaosuanninibudaitaqu	我告诉安妮你不带她去
suoyiwoshibushihentebie	所以我是不是很特别
zaoshangmeiyouxinxidao	早上没有信息到
kenengshiyinweishengaosuoyi	可能是因为身高所以
xindehuodongyaolaile	新的活动要来了
zhiyouwoyigerendedifang	只有我一个人的地方
nidouyiwanduolehai	你都一万多了还
qishiwozainipangbian	其实我在你旁边
kanlexiaweibokandaolehuanqiuyingcheng	看了下微博看到了环球影城
woxiangjiaotajiwoyi	我想叫他给我一
youshenmedifangkeyinadao	有什么地方可以拿到
mashangjinihuiguolai	马上给你回过来
wenrizaofangshanglichicanxian	搵日早放上黎痴餐先
woyaoqukandianyingle	我要去看电影了
shibushimeiyoubadangweiguazai	是不是没有把档位挂在
youjiangxiangwomeiyoue	有将想我没有哦
zheinalisuanshihuaixiguan	这哪里算是坏习惯
woxianzaibuxiangtingle	我现在不想听了
zheishinidezhanghaoba	这是你的账号吧
nimenshijinianbiye	你们是几年毕业
nijiubuhuishuonixihuanwome	你就不会说你喜欢我么
louzhenishuijuekendingshufu	搂着你睡觉肯定舒服
nidechengnuodeyindiao	你的承诺的音调
wogenneigesheifenle	我跟那个谁分了
gongjiaochezhanjiuzaimenkou	公交车站就在门口
yinweiwobukeyiquyoujude	因为我不可以去邮局的
ojiushizuibaideneige	噢就是最白的那个
xiaozhangyaowomenkaohaochengji	校长要我们考好成绩
youyigedifangzhiyouwomenzhidao	有一个地方只有我们知道
suoyimeihuinibuyaoguaiwoe	所以没回你不要怪我哦
suoyimeihuinibuyaoguaiwoe	所以没回你不要怪我哦
burannimeiyounu:renguanxin	不然你没有女人关心
feigeneiyishuanghaokan	非哥那一双好看
tudizidouhaimeishui	徒弟仔都还没睡
wojintiankandaoninazheyusanwan	我今天看到你拿着雨伞玩
nixihuanwogaodiana	你喜欢我高点啊
zheiwoqiannanyouduiba	这我前男友对吧
xuelejicidoubudongyaozenyang	学了几次都不懂要怎样
buzhidaotaxiangzhengyang	不知道它想整样
haokandedounaqubaipanle	好看的都拿去摆盘了
jigehongbaobieshengqi	给个红包别生气
naxiewuqurongyixue	哪些舞曲容易学
womenyiqishengduoduola	我们一起生多多啦
hahahashitayaokongzhiwoba	哈哈哈是他要控制我吧
suoyixiabannianbuhuipaichaoguo	所以下半年不会派超过
yixielingrenxinsuidedongxi	一些令人心碎的东西
wozhishitingguohuinaogui	我只是听过会闹鬼
youxiedifanghenangzang	有些地方很肮脏
weishenmeniyizhingng	为什么你一直嗯嗯
neiwomenhaishiweixinba	那我们还是微信吧
yourengenwoshuoguota	有人跟我说过她
zheibenshuhenchuminge	这本书很出名哦
shiaiqinhaibushiaiqinghai	是爱琴海不是爱情海
mingmingjiuhenduodifangzuodebugouhao	明明就很多地方做得不够好
keshinijibulewodongde	可是你给不了我懂的
ziziyaodaiwozoulee	姊姊要带我走了哦
xianzaigennipengyoujiangge	现在跟你朋友讲咯
wojiaorenmaidehaibuzhidaozaina	我叫人买的还不知道在哪
zheigekuibugandanga	这个愧不敢当啊
xiagelibaidayima	下个礼拜大姨妈
yinggaizaozixunniyixia	应该早咨询你一下
zhuomowozuotianqumeikandao	琢磨我昨天去没看到
zhiyuanyihouyounipeiwokanshijie	只愿以后有你陪我看世界
wojuedezijitaihuaxinlehaoxiang	我觉得自己太花心了好像
keshiyaodenghenjiucaishangke	可是要等很久才上课
ranhouhaohaoxiuxiyixia	然后好好休息一下
buyaodiuxiawoyige	不要丢下我一个
bendanyuanyijieshouchengfa	笨蛋愿意接受惩罚
qubachiyikoupaoyige	去吧吃一口抛一个
nigemeigeyouwuyuantu	你个妹个有无原图
haiyouneiciwomenquzhao	还有那次我们去找
yihouwodouhuidainiquwo	以后我都会带你去喔
woshanggeyuegongqianhenshaobale	我上个月工钱很少罢了
neibudaraonilea	那不打扰你了啊
jianyimianyaoqiuzhendehendi	见一面要求真的很低
erqiewopifubuhao	而且我皮肤不好
niyebuyaobaowodeliao	你也不要爆我的料
baobaolideyetishibushishouji	包包里的液体是不是手机
keyixianbuyipingjiwoma	可以先补一瓶给我吗
shengrikuailewodedidi	生日快乐我的弟弟
yejiushinimendezhangfahenxiangsi	也就是你们的长发很相似
womingtianjiubuzaile	我明天就不在了
dadaodabenjiukeyile	打到大本就可以了
nishiqukanyishenghaishiqukanyiyuan	你是去看医生还是去看医院
wojiangpengyoutaxine	我讲朋友他信哦
jiangyaozhaogekeyimaiche	讲要找个可以买车
shenmegangannongdianhua	什么敢敢弄电话
shihechengyujielongdeshurufa	适合成语接龙的输入法
jintiannihenmangshima	今天你很忙是吗
haodihaodiwoyaowoyao	好滴好滴我要我要
yidaiwuwanghuixiaoshi	一代舞王会消失
chulekaixinzhiwaideganjue	除了开心之外的感觉
keyibuyaochaolema	可以不要吵了嘛
zaoshangbandejiushiyan	早上班的就是严
zaoshangbandejiushiyan	早上班的就是严
zaoshangbandejiushiyan	早上班的就是严
zaoshangbandejiushiyan	早上班的就是严
zaoshangbandejiushiyan	早上班的就是严
youmubiaoyemeiyouzhunbeizaichujile	有目标也没有准备再出击了
gangcaidefenxiangshishai	刚才的分享是晒
ruguobukeyidehuameiguanxi	如果不可以的话没关系
tamenguoranyoubianleyuanlaishuozai	他们果然又变了原来说在
yidingyaodengniyiqilaicaiqunong	一定要等你一起来才去弄
nibuyaojiwopiandiaola	你不要给我骗掉啦
shaonianshidaidelangman	少年时代的浪漫
ashundianhuahaomaduoshao	啊顺电话号码多少
jipinfuerdailaoshi	极品富二代老施
anneigeyunjiuchulaile	按那个云就出来了
tamenjiubawodehuashuoduoyici	他们就把我的话说多一次
wonaliyouyongcuhua	我哪里有用粗话
woxianggaosunisuoyoudeshiqing	我想告诉你所有的事情
zijidajiwobabagentajiaodai	自己打给我爸爸跟他交代
nijuedewoyaoshouji	你觉得我要收集
zuometahuixihuanle	做么他会喜欢叻
niguoduanxuanlekaochang	你果断选了烤肠
jinglideshuxuewenti	经理的数学问题
yinweinibenlaijiushixihuan	因为你本来就是喜欢
wojinfangjianjiushile	我进房间就是了
nimingtianjidianxiuxi	你明天几点休息
wozheiyangzuoshibushihenhuai	我这样做是不是很坏
haoxiangmeinianshiyueyidouhuizhunshixia	好像每年十月一都会准时下
shangcidasaoshuozheigetuanmeiqianji	上次大嫂说这个团没钱给
zongshirangwohaodanxinni	总是让我好担心你
woyeshizheiyangjuede	我也是这样觉得
niyangshuaiguolongshibushi	你样衰过笼是不是
nibukenengyibeizi	你不可能一辈子
neichiyidiankeyima	那迟一点可以吗
pifazhenzhuluohansongzhongzi	批发珍珠罗汉松种子
danshinimenxianjishei	但是你们先几谁
jidenijintianzenmekai	记得你今天怎么开
woduoyixiayinggaijiuhaole	我多一下应该就好了
weishenmemeicidouyaoweixiu	为什么每次都要维修
dengguoduanshijianjiale	等过段时间加了
zhenshitihuidaolaochenlaopodehua	真是体会到老陈老婆的话
niyaohenhuizhaorene	你要很会找人哦
danshiyaodengdengwojiushile	但是要等等我就是了
taerziyebushangxin	他儿子也不上心
duoyixiazijiubuwanxile	多一下子就补完习了
quwangbawandiannaodoubuxinga	去网吧玩电脑都不行啊
nijiwodoumeizheimeduo	你给我都没这么多
